Manufactuer,Model,mpg,Transmission,Displacement,Carburetor,Axle Ratio
(GM) CHEVROLET,VEGA  KAMMBACK,17.1,A3,140,2 BARREL,3.36
PEUGEOT,i04  SEDAN,17.0,A3,120,2 BARREL,3.78
SAAB,SAAB  99  LE,17.0,M4,121,FUEL INJ.,3.89
VOLVO,144,17.0,A3,121,FUEL INJ.,4.10
FORD,MUSTANG,16.9,A3,140,2 BARREL,3.55
PEUGEOT,504   SEDAN,16.8,M4,120,2 BARREL,3.78
FORD,PINTO  WAGON,16.6,A3,140,2 BARREL,3.40
FORD,MUSTANG,16.5,M4,140,2 BARREL,3.55
[GM)  CHEVROLET,VEGA  HATCHBACK,16.3,M3,140,2 BARREL,2.92
AUSTIN MORRIS BMC,MGB  GT,16.3,M4,110,2 BARREL,3.90
NISSAN,DATSUN 260Z ,16.2,M4,157,2 BARREL,3.36
AUDI  (AUTO  UNION),AUDI 100,16.1,M4,114,2 BARREL,4.11
SAAB,SAAB 99,16.1,A3,121,FUEL INJ,3.89
VOLVO,"LE
144",16.1,A3,121,FUEL INJ.,4.1
AMERICAN  MOTORS,GREMLIN,15.9,A3,232,1 BARREL,2.73
FORD,CAPRI,15.8,A3,171,2 BARREL,3.22
NISSAN,DATSUN 260Z ,15.8,A3,157,2 BARREL,3.54
AM GENERAL,1/ 4 TON  TRUCK,15.8,A3,232,1 BARREL,3.07
(GM)  CHEVROLET,VEGA  KAMMBACK,15.7,A3,140,2 BARREL,2.92
AMERICAN  MOTORS,GREMLIN,15.6,M3,258,1 BARREL,2.73
FORD,COMET,15.5,A3,200,1 BARREL,2.79
TOYOTA,MARK  II SEDAN,15.4,A3,156,2 BARREL,3.90
CHEVROLET,VEGA PANEL,15.4,M4,140,2 BARREL,3.36
 AUDI (AUTO  UNION),AUDI  100,15.4,M4,140,"2 BARREL
2 BARREL",4.11
TOYO  KOGYO,COURIER   PICKUP,15.2,M4,110,2 BARREL,4.11
